airport,storm_id,start_time,end_time,n_lightnings,nb_cloud_ground,nb_intra_cloud,max_distance,mean_amplitude,duration_min
Ajaccio,0,2016-01-02 14:53:36+00:00,2016-01-02 14:53:36+00:00,2,1,1,27.36065348968198,-6.615,0.0
Ajaccio,1,2016-01-02 21:22:53+00:00,2016-01-02 21:58:44+00:00,14,7,7,29.27816549570514,-43.28000000000001,35.85
Ajaccio,2,2016-01-06 13:13:45+00:00,2016-01-06 13:13:45+00:00,1,0,1,24.48781816217526,-190.54,0.0
Ajaccio,3,2016-01-06 22:16:11+00:00,2016-01-06 22:16:11+00:00,4,0,4,29.086020910881963,-4.234999999999999,0.0
Ajaccio,4,2016-01-09 23:30:11+00:00,2016-01-09 23:30:11+00:00,1,0,1,19.024559871947464,-25.53,0.0
Ajaccio,5,2016-01-11 20:25:11+00:00,2016-01-11 20:27:46+00:00,2,0,2,28.145216331678228,-7.390000000000001,2.5833333333333335
Ajaccio,6,2016-01-12 06:32:28+00:00,2016-01-12 06:48:13+00:00,13,4,9,28.965410742640067,-4.060769230769231,15.75
Ajaccio,7,2016-01-12 07:25:37+00:00,2016-01-12 08:13:24+00:00,10,3,7,25.527658020771405,-5.808,47.78333333333333
Ajaccio,8,2016-02-07 13:59:47+00:00,2016-02-07 14:05:14+00:00,6,2,4,21.245429295965508,-22.075,5.45
Ajaccio,9,2016-02-07 14:35:39+00:00,2016-02-07 14:35:39+00:00,2,1,1,17.92717623301275,-0.6049999999999995,0.0
Ajaccio,10,2016-02-09 21:16:25+00:00,2016-02-09 21:40:02+00:00,4,2,2,25.971900661850576,-8.370000000000001,23.616666666666667
Ajaccio,11,2016-02-12 17:06:53+00:00,2016-02-12 17:13:16+00:00,3,0,3,29.58647673024672,-10.333333333333334,6.383333333333334
Ajaccio,12,2016-02-16 22:23:34+00:00,2016-02-16 22:53:38+00:00,11,7,4,28.629522476638,-13.56,30.066666666666666
Ajaccio,13,2016-02-23 01:01:21+00:00,2016-02-23 01:15:45+00:00,5,2,3,29.45574403934615,-10.976000000000003,14.4
Ajaccio,14,2016-02-25 11:01:12+00:00,2016-02-25 11:17:23+00:00,9,3,6,28.83045807862003,-14.46888888888889,16.183333333333334
Ajaccio,15,2016-02-25 13:22:26+00:00,2016-02-25 15:04:40+00:00,62,32,30,29.78507609967708,-24.001451612903224,102.23333333333333
Ajaccio,16,2016-02-27 16:27:04+00:00,2016-02-27 17:48:07+00:00,36,15,21,29.739154887165675,-18.1,81.05
Ajaccio,17,2016-02-28 16:20:35+00:00,2016-02-28 16:20:35+00:00,1,0,1,21.70405615682986,21.07,0.0
